,yos,group_1,group_2,group_3
0,1,1.0,1.0,1.0
1,2,1.008928,1.011678,1.007977
2,3,1.020823,1.02702,1.017402
3,4,1.036106,1.04698,1.028602
4,5,1.055338,1.071378,1.041971
5,6,1.079078,1.098567,1.057947
6,7,1.107147,1.12724,1.076956
7,8,1.138541,1.157645,1.099306
8,9,1.171622,1.189532,1.125067
9,10,1.202307,1.220665,1.153998
10,11,1.224779,1.248419,1.185615
11,12,1.238025,1.271612,1.219399
12,13,1.249185,1.281251,1.255029
13,14,1.269997,1.311033,1.292469
14,15,1.30802,1.335745,1.331814
15,16,1.356947,1.366868,1.372992
16,17,1.400597,1.401015,1.415514
17,18,1.426923,1.43376,1.458466
18,19,1.43475,1.462452,1.500818
19,20,1.436888,1.486165,1.541859
20,21,1.455835,1.506449,1.581479
21,22,1.509904,1.527866,1.620177
22,23,1.605528,1.557687,1.658868
23,24,1.728878,1.603624,1.698641
24,25,1.845986,1.668088,1.740519
25,26,1.93142,1.745391,1.78518
26,27,1.984603,1.823154,1.832652
27,28,2.013102,1.882617,1.88209
28,29,2.014127,1.905734,1.931843
29,30,1.980114,1.892499,1.979828
30,31,1.920551,1.861894,2.024003
31,32,1.854878,1.831559,2.06268
32,33,1.795146,1.809985,2.094613
33,34,1.744673,1.804438,2.118981
34,35,1.698215,1.825268,2.135377
35,36,1.640854,1.87023,2.144636
36,37,1.573109,1.909273,2.144636
37,38,1.554518,1.911028,2.138332
38,39,1.601819,1.865677,2.125236
39,40,1.64469,1.774092,2.105303
40,41,1.622999,1.636262,2.078071
41,42,1.627333,1.467621,2.042912
42,43,1.556277,1.356337,1.999581
43,44,1.411368,1.452061,1.948923
44,45,1.208054,1.828544,1.893361
45,46,1.043286,2.518608,1.836726
